Job Search,Company,Salary,Application Date,City,Title,Category
1316,Securus Technologies,92834,4/14/2016,Dallas,IT Development Manager (Mobile/ UI),Manager
1322,Texas Instruments,87590,4/14/2016,Dallas,Web Application Development Manager,Manager
1350,ResMan Property,108800,4/14/2016,Dallas,Implementation Manager,Manager
1355,New Horizons,90338,4/14/2016,Irving,Instructor - Adjunct,Adjunct
1369,2M Research Services,88408,4/15/2016,Arlington,Chief Technology Officer,Other
1373,Training Associates,71732,4/18/2016,Arlington,Excel - Adjunct,Adjunct
1383,Training Associates,71470,4/18/2016,Irving,Office 2016 - Adjunct,Adjunct
1470,Training Associates,104779,4/18/2016,,Office 2016 - Adjunct,Adjunct
1478,Masis Professional Group,102960,4/21/2016,Frisco,Director of Application Development,Director
1494,Robert Half,109989,4/21/2016,Frisco,Director of Application Development (Java),Director
1501,ServPartners,98982,4/21/2016,Irving,Development Manager,Manager
1515,Apptricity,110100,4/21/2016,Irving,Director of Mobile Development ,Director
1533,Resolvity,118261,4/21/2016,Irving,Senior Director Application Development and Customer Operations,Director
1534,Park Hudson International,91243,4/26/2016,Fort Worth,Development Manager ,Manager
1558,TD AmeriTrade,87647,4/27/2016,Roanoak,Application Development Manager,Manager
1560,Hunter Technical,106326,4/28/2016,Irving,Director of Mobile Development ,Director
1583,First Command?,80703,4/28/2016,Fort Worth,Software Development Manager,Manager
1599,Agile Premier,117760,4/28/2016,Fort Worth,Software Architect II,Other
1645,Client Resources Inc.,87889,5/2/2016,Fort Worth,Application Development Manager,Manager
1661,Zolon tech,116463,5/2/2016,Fort Worth,ETL Developer,Developer
1662,Dev Mountain,118631,5/3/2016,Dallas,Mentor - Adjunct,Adjunct
1696,Academy Mortgage Corporation,94088,5/3/2016,Sandy,Director of Engineering ,Director
1701,Ancestry,83285,5/3/2016,Provo,Senior Software Development Manager,Manager
1764,HealthEquity,110137,5/3/2016,Draper,VP Product Development,Vice Pres
1772,Real Estate Technology Marketing,107626,5/3/2016,Springville,Vice President of Software Engineering ,Vice Pres
1793,ITT Technical,111014,5/4/2016,SLC/DFW,Training / Adjunct,Adjunct
1798,New Horizons,73016,5/4/2016,SLC/DFW,Training / Adjunct,Adjunct
1851,Nicomp International Inc.,76453,5/4/2016,SLC/DFW,Training / Adjunct,Adjunct
1873,ONLC Training Centers,106571,5/4/2016,SLC/DFW,Training / Adjunct,Adjunct
1888,TechSherpas,106203,5/4/2016,SLC/DFW,Training / Adjunct,Adjunct
1928,Rahul Sharma <rahulsharma@usgrpinc.com>,113583,5/18/2016,Dallas,SSIS- ETL developer,Other
1936,Southern NH University,78281,5/18/2016,Online,Adjunct - Data,Adjunct
1961,Health Management Systems Inc,116013,5/20/2016,Irving,Sr. Director Applications Development,Director
1966,Robert Half,110012,6/4/2016,Fort Worth,Manager of Applications Development,Manager
1967,Product Support Services Inc. (PSSI),82576,6/9/2016,Coppell,IT Manager/Director,Manager
